# primary<TAB>target language<TAB>text<TAB>source id<TAB>entry id
优化	EN	optimize	own-curated-v002	optimize-1
优化	EN	improve	own-curated-v002	optimize-2
优化	EN	refine	own-curated-v002	optimize-3
油画	EN	oil painting	own-curated-v002	oil-painting-1
优化方案	EN	optimization plan	own-curated-v002	optimization-plan-1
优化方法	EN	optimization method	own-curated-v002	optimization-method-1
继续优化	EN	further improve	own-curated-v002	further-improve-1
学习	EN	learn	own-curated-v002	learn-1
工作	EN	work	own-curated-v002	work-1
方案	EN	plan	own-curated-v002	plan-1
方案	EN	approach	own-curated-v002	plan-2
设计	EN	design	own-curated-v002	design-1
改进	EN	improve	own-curated-v002	improve-1
完成	EN	complete	own-curated-v002	complete-1
问题	EN	problem	own-curated-v002	problem-1
计划	EN	plan	own-curated-v002	plan-3
你好	EN	hello	own-curated-v002	hello-1
谢谢	EN	thank you	own-curated-v002	thanks-1
输入	EN	input	own-curated-v002	input-1
语言	EN	language	own-curated-v002	language-1
测试	EN	test	own-curated-v002	test-1
自然表达	EN	natural expression	own-curated-v002	natural-expression-1
学习语言	EN	learn a language	own-curated-v002	learn-language-1
解决问题	EN	solve a problem	own-curated-v002	solve-problem-1
optimize	ZH	优化	own-curated-v002	optimize-zh-1
